datetime,guests,free,max
14.06.2021 00:00,306,2894,3200
14.06.2021 00:05,0,3200,3200
14.06.2021 00:10,0,3200,3200
14.06.2021 00:15,0,3200,3200
14.06.2021 00:20,0,3200,3200
14.06.2021 00:25,0,3200,3200
14.06.2021 00:30,0,3200,3200
14.06.2021 00:35,0,3200,3200
14.06.2021 00:40,0,3200,3200
14.06.2021 00:45,0,3200,3200
14.06.2021 00:50,0,3200,3200
14.06.2021 00:55,0,3200,3200
14.06.2021 01:00,0,3200,3200
14.06.2021 01:05,0,3200,3200
14.06.2021 01:10,0,3200,3200
14.06.2021 01:15,0,3200,3200
14.06.2021 01:20,0,3200,3200
14.06.2021 01:25,0,3200,3200
14.06.2021 01:30,0,3200,3200
14.06.2021 01:35,0,3200,3200
14.06.2021 01:40,0,3200,3200
14.06.2021 01:45,0,3200,3200
14.06.2021 01:50,0,3200,3200
14.06.2021 01:55,0,3200,3200
14.06.2021 02:00,0,3200,3200
14.06.2021 02:05,0,3200,3200
14.06.2021 02:10,0,3200,3200
14.06.2021 02:15,0,3200,3200
14.06.2021 02:20,0,3200,3200
14.06.2021 02:25,0,3200,3200
14.06.2021 02:30,0,3200,3200
14.06.2021 02:35,0,3200,3200
14.06.2021 02:40,0,3200,3200
14.06.2021 02:45,0,3200,3200
14.06.2021 02:50,0,3200,3200
14.06.2021 02:55,0,3200,3200
14.06.2021 03:00,0,3200,3200
14.06.2021 03:05,0,3200,3200
14.06.2021 03:10,0,3200,3200
14.06.2021 03:15,0,3200,3200
14.06.2021 03:20,0,3200,3200
14.06.2021 03:25,0,3200,3200
14.06.2021 03:30,0,3200,3200
14.06.2021 03:35,0,3200,3200
14.06.2021 03:40,0,3200,3200
14.06.2021 03:45,0,3200,3200
14.06.2021 03:50,0,3200,3200
14.06.2021 03:55,0,3200,3200
14.06.2021 04:00,0,3200,3200
14.06.2021 04:04,0,3200,3200
14.06.2021 04:10,0,3200,3200
14.06.2021 04:15,0,3200,3200
14.06.2021 04:20,0,3200,3200
14.06.2021 04:25,0,3200,3200
14.06.2021 04:30,0,3200,3200
14.06.2021 04:35,0,3200,3200
14.06.2021 04:40,0,3200,3200
14.06.2021 04:45,0,3200,3200
14.06.2021 04:50,0,3200,3200
14.06.2021 04:55,0,3200,3200
14.06.2021 05:00,0,3200,3200
14.06.2021 05:05,0,3200,3200
14.06.2021 05:10,0,3200,3200
14.06.2021 05:15,0,3200,3200
14.06.2021 05:20,0,3200,3200
14.06.2021 05:25,0,3200,3200
14.06.2021 05:30,0,3200,3200
14.06.2021 05:35,0,3200,3200
14.06.2021 05:40,0,3200,3200
14.06.2021 05:45,0,3200,3200
14.06.2021 05:50,0,3200,3200
14.06.2021 05:55,0,3200,3200
14.06.2021 06:00,0,3200,3200
14.06.2021 06:05,0,3200,3200
14.06.2021 06:10,0,3200,3200
14.06.2021 06:15,0,3200,3200
14.06.2021 06:20,0,3200,3200
14.06.2021 06:25,0,3200,3200
14.06.2021 06:30,0,3200,3200
14.06.2021 06:35,0,3200,3200
14.06.2021 06:40,0,3200,3200
14.06.2021 06:45,0,3200,3200
14.06.2021 06:50,0,3200,3200
14.06.2021 06:55,0,3200,3200
14.06.2021 07:00,0,3200,3200
14.06.2021 07:05,21,3179,3200
14.06.2021 07:10,23,3177,3200
14.06.2021 07:15,28,3172,3200
14.06.2021 07:20,36,3164,3200
14.06.2021 07:25,55,3145,3200
14.06.2021 07:30,59,3141,3200
14.06.2021 07:35,66,3134,3200
14.06.2021 07:40,67,3133,3200
14.06.2021 07:45,72,3128,3200
14.06.2021 07:50,75,3125,3200
14.06.2021 07:55,80,3120,3200
14.06.2021 08:00,86,3114,3200
14.06.2021 08:05,94,3106,3200
14.06.2021 08:10,99,3101,3200
14.06.2021 08:15,101,3099,3200
14.06.2021 08:20,125,3075,3200
14.06.2021 08:25,128,3072,3200
14.06.2021 08:30,135,3065,3200
14.06.2021 08:35,141,3059,3200
14.06.2021 08:40,152,3048,3200
14.06.2021 08:45,201,2999,3200
14.06.2021 08:50,201,2999,3200
14.06.2021 08:55,206,2994,3200
14.06.2021 09:00,233,2967,3200
14.06.2021 09:05,267,2933,3200
14.06.2021 09:10,271,2929,3200
14.06.2021 09:15,276,2924,3200
14.06.2021 09:20,286,2914,3200
14.06.2021 09:25,299,2901,3200
14.06.2021 09:30,298,2902,3200
14.06.2021 09:35,304,2896,3200
14.06.2021 09:40,306,2894,3200
14.06.2021 09:45,306,2894,3200
14.06.2021 09:50,309,2891,3200
14.06.2021 09:55,303,2897,3200
14.06.2021 10:00,310,2890,3200
14.06.2021 10:05,304,2896,3200
14.06.2021 10:10,308,2892,3200
14.06.2021 10:15,317,2883,3200
14.06.2021 10:20,324,2876,3200
14.06.2021 10:25,338,2862,3200
14.06.2021 10:30,364,2836,3200
14.06.2021 10:35,380,2820,3200
14.06.2021 10:40,417,2783,3200
14.06.2021 10:45,424,2776,3200
14.06.2021 10:50,422,2778,3200
14.06.2021 10:55,434,2766,3200
14.06.2021 11:00,448,2752,3200
14.06.2021 11:05,454,2746,3200
14.06.2021 11:10,456,2744,3200
14.06.2021 11:15,450,2750,3200
14.06.2021 11:20,452,2748,3200
14.06.2021 11:25,447,2753,3200
14.06.2021 11:30,459,2741,3200
14.06.2021 11:35,461,2739,3200
14.06.2021 11:40,473,2727,3200
14.06.2021 11:45,473,2727,3200
14.06.2021 11:50,499,2701,3200
14.06.2021 11:55,483,2717,3200
14.06.2021 12:00,488,2712,3200
14.06.2021 12:05,493,2707,3200
14.06.2021 12:10,501,2699,3200
14.06.2021 12:15,517,2683,3200
14.06.2021 12:20,522,2678,3200
14.06.2021 12:25,535,2665,3200
14.06.2021 12:30,565,2635,3200
14.06.2021 12:35,571,2629,3200
14.06.2021 12:40,579,2621,3200
14.06.2021 12:45,598,2602,3200
14.06.2021 12:50,614,2586,3200
14.06.2021 12:55,620,2580,3200
14.06.2021 13:00,632,2568,3200
14.06.2021 13:05,630,2570,3200
14.06.2021 13:10,636,2564,3200
14.06.2021 13:15,654,2546,3200
14.06.2021 13:20,660,2540,3200
14.06.2021 13:25,662,2538,3200
14.06.2021 13:30,666,2534,3200
14.06.2021 13:35,705,2495,3200
14.06.2021 13:40,728,2472,3200
14.06.2021 13:45,734,2466,3200
14.06.2021 13:50,751,2449,3200
14.06.2021 13:55,775,2425,3200
14.06.2021 14:00,813,2387,3200
14.06.2021 14:05,824,2376,3200
14.06.2021 14:10,885,2315,3200
14.06.2021 14:15,921,2279,3200
14.06.2021 14:20,933,2267,3200
14.06.2021 14:25,965,2235,3200
14.06.2021 14:30,988,2212,3200
14.06.2021 14:35,997,2203,3200
14.06.2021 14:40,1021,2179,3200
14.06.2021 14:45,1035,2165,3200
14.06.2021 14:50,1045,2155,3200
14.06.2021 14:55,1053,2147,3200
14.06.2021 15:00,1069,2131,3200
14.06.2021 15:05,1057,2143,3200
14.06.2021 15:10,1078,2122,3200
14.06.2021 15:15,1089,2111,3200
14.06.2021 15:20,1094,2106,3200
14.06.2021 15:25,1142,2058,3200
14.06.2021 15:30,1161,2039,3200
14.06.2021 15:35,0,3200,3200
14.06.2021 15:40,1168,2032,3200
14.06.2021 15:45,1185,2015,3200
14.06.2021 15:50,1175,2025,3200
14.06.2021 15:55,1183,2017,3200
14.06.2021 16:00,1187,2013,3200
14.06.2021 16:04,1177,2023,3200
14.06.2021 16:10,1198,2002,3200
14.06.2021 16:15,1208,1992,3200
14.06.2021 16:20,1210,1990,3200
14.06.2021 16:25,1207,1993,3200
14.06.2021 16:30,1210,1990,3200
14.06.2021 16:35,1205,1995,3200
14.06.2021 16:40,1204,1996,3200
14.06.2021 16:45,1193,2007,3200
14.06.2021 16:50,1192,2008,3200
14.06.2021 16:55,1195,2005,3200
14.06.2021 17:00,1206,1994,3200
14.06.2021 17:05,1203,1997,3200
14.06.2021 17:10,1201,1999,3200
14.06.2021 17:15,1186,2014,3200
14.06.2021 17:20,1176,2024,3200
14.06.2021 17:25,1186,2014,3200
14.06.2021 17:30,1179,2021,3200
14.06.2021 17:35,1173,2027,3200
14.06.2021 17:40,1174,2026,3200
14.06.2021 17:45,1160,2040,3200
14.06.2021 17:50,1159,2041,3200
14.06.2021 17:55,1164,2036,3200
14.06.2021 18:00,1167,2033,3200
14.06.2021 18:05,1150,2050,3200
14.06.2021 18:10,1140,2060,3200
14.06.2021 18:15,1151,2049,3200
14.06.2021 18:20,1142,2058,3200
14.06.2021 18:25,1128,2072,3200
14.06.2021 18:30,1097,2103,3200
14.06.2021 18:35,1109,2091,3200
14.06.2021 18:40,1105,2095,3200
14.06.2021 18:45,1097,2103,3200
14.06.2021 18:50,1091,2109,3200
14.06.2021 18:55,1088,2112,3200
14.06.2021 19:00,1070,2130,3200
14.06.2021 19:05,1041,2159,3200
14.06.2021 19:10,1024,2176,3200
14.06.2021 19:15,991,2209,3200
14.06.2021 19:20,972,2228,3200
14.06.2021 19:25,949,2251,3200
14.06.2021 19:30,927,2273,3200
14.06.2021 19:35,906,2294,3200
14.06.2021 19:40,870,2330,3200
14.06.2021 19:45,831,2369,3200
14.06.2021 19:50,765,2435,3200
14.06.2021 19:55,722,2478,3200
14.06.2021 20:00,668,2532,3200
14.06.2021 20:05,596,2604,3200
14.06.2021 20:10,568,2632,3200
14.06.2021 20:15,558,2642,3200
14.06.2021 20:20,549,2651,3200
14.06.2021 20:25,549,2651,3200
14.06.2021 20:30,544,2656,3200
14.06.2021 20:35,543,2657,3200
14.06.2021 20:40,539,2661,3200
14.06.2021 20:45,536,2664,3200
14.06.2021 20:50,536,2664,3200
14.06.2021 20:55,526,2674,3200
14.06.2021 21:00,526,2674,3200
14.06.2021 21:05,521,2679,3200
14.06.2021 21:10,516,2684,3200
14.06.2021 21:15,507,2693,3200
14.06.2021 21:20,497,2703,3200
14.06.2021 21:25,497,2703,3200
14.06.2021 21:30,492,2708,3200
14.06.2021 21:35,491,2709,3200
14.06.2021 21:40,491,2709,3200
14.06.2021 21:45,488,2712,3200
14.06.2021 21:50,484,2716,3200
14.06.2021 21:55,484,2716,3200
14.06.2021 22:00,481,2719,3200
14.06.2021 22:05,0,3200,3200
14.06.2021 22:10,475,2725,3200
14.06.2021 22:15,475,2725,3200
14.06.2021 22:20,475,2725,3200
14.06.2021 22:25,475,2725,3200
14.06.2021 22:30,474,2726,3200
14.06.2021 22:35,474,2726,3200
14.06.2021 22:40,474,2726,3200
14.06.2021 22:45,474,2726,3200
14.06.2021 22:50,474,2726,3200
14.06.2021 22:55,474,2726,3200
14.06.2021 23:00,474,2726,3200
14.06.2021 23:05,474,2726,3200
14.06.2021 23:10,474,2726,3200
14.06.2021 23:15,474,2726,3200
14.06.2021 23:20,474,2726,3200
14.06.2021 23:25,474,2726,3200
14.06.2021 23:30,474,2726,3200
14.06.2021 23:35,474,2726,3200
14.06.2021 23:40,474,2726,3200
14.06.2021 23:45,474,2726,3200
14.06.2021 23:50,474,2726,3200
14.06.2021 23:55,474,2726,3200
15.06.2021 00:00,472,2728,3200
15.06.2021 00:05,0,3200,3200
15.06.2021 00:10,0,3200,3200
15.06.2021 00:15,0,3200,3200
15.06.2021 00:20,0,3200,3200
15.06.2021 00:25,0,3200,3200
15.06.2021 00:30,0,3200,3200
15.06.2021 00:35,0,3200,3200
15.06.2021 00:40,0,3200,3200
15.06.2021 00:45,0,3200,3200
15.06.2021 00:50,0,3200,3200
15.06.2021 00:55,0,3200,3200
15.06.2021 01:00,0,3200,3200
15.06.2021 01:05,0,3200,3200
15.06.2021 01:10,0,3200,3200
15.06.2021 01:15,0,3200,3200
15.06.2021 01:20,0,3200,3200
15.06.2021 01:25,0,3200,3200
15.06.2021 01:30,0,3200,3200
15.06.2021 01:35,0,3200,3200
15.06.2021 01:40,0,3200,3200
15.06.2021 01:45,0,3200,3200
15.06.2021 01:50,0,3200,3200
15.06.2021 01:55,0,3200,3200
15.06.2021 02:00,0,3200,3200
15.06.2021 02:05,0,3200,3200
15.06.2021 02:10,0,3200,3200
15.06.2021 02:15,0,3200,3200
15.06.2021 02:20,0,3200,3200
15.06.2021 02:25,0,3200,3200
15.06.2021 02:30,0,3200,3200
15.06.2021 02:35,0,3200,3200
15.06.2021 02:40,0,3200,3200
15.06.2021 02:45,0,3200,3200
15.06.2021 02:50,0,3200,3200
15.06.2021 02:55,0,3200,3200
15.06.2021 03:00,0,3200,3200
15.06.2021 03:05,0,3200,3200
15.06.2021 03:10,0,3200,3200
15.06.2021 03:15,0,3200,3200
15.06.2021 03:20,0,3200,3200
15.06.2021 03:25,0,3200,3200
15.06.2021 03:30,0,3200,3200
15.06.2021 03:35,0,3200,3200
15.06.2021 03:40,0,3200,3200
15.06.2021 03:45,0,3200,3200
15.06.2021 03:50,0,3200,3200
15.06.2021 03:55,0,3200,3200
15.06.2021 04:00,0,3200,3200
15.06.2021 04:04,0,3200,3200
15.06.2021 04:10,0,3200,3200
15.06.2021 04:15,0,3200,3200
15.06.2021 04:20,0,3200,3200
15.06.2021 04:25,0,3200,3200
15.06.2021 04:30,0,3200,3200
15.06.2021 04:35,0,3200,3200
15.06.2021 04:40,0,3200,3200
15.06.2021 04:45,0,3200,3200
15.06.2021 04:50,0,3200,3200
15.06.2021 04:55,0,3200,3200
15.06.2021 05:00,0,3200,3200
15.06.2021 05:05,0,3200,3200
15.06.2021 05:10,0,3200,3200
15.06.2021 05:15,0,3200,3200
15.06.2021 05:20,0,3200,3200
15.06.2021 05:25,0,3200,3200
15.06.2021 05:30,0,3200,3200
15.06.2021 05:35,0,3200,3200
15.06.2021 05:40,0,3200,3200
15.06.2021 05:45,0,3200,3200
15.06.2021 05:50,0,3200,3200
15.06.2021 05:55,0,3200,3200
15.06.2021 06:00,0,3200,3200
15.06.2021 06:05,0,3200,3200
